matchid,totalGoldA,totalGoldB,destroyedTowersA,destroyedTowersB,destroyedInhibitorsA,destroyedInhibitorsB,dragonsA,dragonsB,baronsA,baronsB,winTeam
BR1_3028314582,49026,37721,8,0,1,0,3,0,1,0,0
BR1_3028261347,49317,63994,1,11,0,4,0,4,0,2,1
BR1_3028252037,68187,58943,11,3,3,0,2,2,1,0,0
BR1_3028234100,58043,47634,10,3,2,0,2,1,1,0,0
BR1_3030451667,87627,82396,10,8,1,2,4,2,2,1,0
BR1_3030431259,71507,57285,11,4,3,0,4,0,1,0,0
BR1_3030396601,64280,57344,9,4,1,0,1,3,1,0,0
BR1_3030149406,48947,60906,3,11,0,3,0,1,0,1,1
BR1_3029941309,52115,43655,8,1,1,0,0,3,1,0,0
BR1_3029915773,55255,46878,8,3,1,0,2,2,1,0,0
BR1_3029876447,71856,77949,3,11,0,5,1,4,1,2,1
BR1_3029657806,65119,57074,10,3,2,0,2,1,1,0,0
BR1_3029632277,78236,74169,11,5,4,0,5,1,1,2,0
BR1_3029183847,60845,57446,9,5,1,0,2,2,1,1,0
BR1_3029159076,54213,63847,6,8,0,1,0,4,0,1,1
BR1_3029105372,50308,61107,3,11,0,2,0,4,0,1,1
BR1_3029086974,50226,36782,11,0,3,0,1,2,0,0,0
BR1_3028907634,44038,57866,2,10,0,2,1,2,0,1,1
BR1_3028905028,73514,70438,9,5,1,0,4,0,0,2,0
BR1_3028841496,67499,53963,9,5,1,0,1,1,1,0,0
BR1_3028816326,74743,72927,11,5,3,0,2,2,1,1,0
BR1_3028622727,56381,46283,11,2,3,0,2,1,1,0,0
BR1_3028234100,58043,47634,10,3,2,0,2,1,1,0,0
BR1_3028216071,57201,49306,9,3,2,0,1,2,1,0,0
BR1_3028188078,75952,66487,10,4,3,0,2,1,1,1,0
BR1_3028101360,41991,55593,1,11,0,3,0,1,0,1,1
BR1_3028006921,52288,48573,8,4,1,0,0,3,1,0,0
BR1_3027982897,61638,55088,10,4,2,0,2,2,1,0,0
BR1_3027865801,96834,93763,9,10,2,2,3,4,3,0,1
BR1_3027838358,60253,47528,10,3,2,0,1,3,1,0,0
BR1_3027619832,66563,57976,9,4,1,0,1,2,1,0,0
BR1_3027577546,61567,48087,9,2,1,0,4,0,1,0,0
BR1_3030406329,59431,54466,10,6,1,0,2,2,1,0,0
BR1_3030284879,65754,57051,11,2,5,0,1,0,2,0,0
BR1_3030239659,48134,32311,10,0,1,0,1,0,0,0,0
BR1_3030200845,50806,65277,1,10,0,3,0,4,0,2,1
BR1_3030149406,48947,60906,3,11,0,3,0,1,0,1,1
